x,hart
1892,1996
1893,1991
1894,1984
1895,1984
1896,2001
1897,2012
1898,2012
1899,1998
1900,1999
1901,1999
1902,1988
1903,1988
1904,1983
1905,1998
1906,1998
1907,1993
1908,1995
1909,1995
1910,1995
1911,1979
1912,1979
1913,1985
1914,1985
1915,1985
1916,1983
1917,1992
1918,1992
1919,1979
1920,1979
1921,1976
1922,2000
1923,2000
1924,1993
1925,1992
1926,1992
1927,1991
1928,1986
1929,1986
1930,1977
1931,1987
1932,1987
1933,1980
1934,1990
1935,1990
1936,1999
1937,1999
1938,1999
1939,2009
1940,2009
1941,2023
1942,2028
1943,2028
1944,2035
1945,2044
1946,2044
1947,2029
1948,2040
1949,2040
1950,2029
1951,2029
1952,2029
1953,2041
1954,2048
1955,2048
1956,2023
1957,2023
1958,2026
1959,2009
1960,2009
1961,1996
1962,2003
1963,2003
1964,1978
1965,1985
1966,1985
1967,1982
1968,1968
1969,1968
1970,1965
1971,1972
1972,1972
1973,1967
1974,1972
1975,1972
1976,1974
1977,1974
1978,1965
1979,1974
1980,1974
1981,1968
1982,1970
1983,1970
1984,1975
1985,1981
1986,1981
1987,1972
1988,1994
1989,1994
1990,2007
1991,2036
1992,2036
1993,2092
1994,2092
1995,2113
1996,2182
1997,2182
1998,2241
1999,2315
2000,2315
2001,2411
2002,2520
2003,2520
2004,2550
2005,2558
2006,2558
2007,2496
2008,2368
2009,2368
2010,2234
2011,2090
2012,2090
2013,1967
2014,1882
2015,1882
2016,1832
2017,1832
2018,1808
2019,1812
2020,1812
2021,1811
2022,1810
2023,1810
2024,1820
2025,1820
2026,1820
2027,1824
2028,1844
2029,1844
2030,1843
2031,1844
2032,1844
2033,1861
2034,1861
2035,1861
2036,1868
2037,1868
2038,1879
2039,1886
2040,1886
2041,1879
2042,1895
2043,1895
2044,1896
2045,1898
2046,1898
2047,1913
2048,1916
2049,1916
2050,1911
2051,1921
2052,1921
2053,1927
2054,1927
2055,1928
2056,1942
2057,1942
2058,1940
2059,1941
2060,1941
2061,1946
2062,1953
2063,1953
2064,1969
2065,1961
2066,1961
2067,1961
2068,1959
2069,1959
2070,1963
2071,1969
2072,1969
2073,1980
2074,1980
2075,1974
2076,1983
2077,1983
2078,2005
2079,1996
2080,1996
2081,1987
2082,2008
2083,2008
2084,2002
2085,2001
2086,2001
2087,2023
2088,2035
2089,2035
2090,2012
2091,2013
2092,2013
2093,2018
2094,2018
2095,2025
2096,2039
2097,2039
2098,2038
2099,2039
2100,2039
2101,2035
2102,2034
2103,2034
2104,2039
2105,2046
2106,2046
2107,2037
2108,2047
2109,2047
2110,2057
2111,2044
2112,2044
2113,2066
2114,2066
2115,2067
2116,2061
2117,2061
2118,2071
2119,2071
2120,2071
2121,2069
2122,2080
2123,2080
2124,2088
2125,2093
2126,2093
2127,2089
2128,2077
2129,2077
2130,2087
2131,2087
2132,2093
2133,2092
2134,2092
2135,2094
2136,2098
2137,2098
2138,2067
2139,2093
2140,2093
2141,2075
2142,2059
2143,2059
2144,2051
2145,2034
2146,2034
2147,2027
2148,2025
2149,2025
2150,1995
2151,1988
2152,1988
2153,1983
2154,1983
2155,1946
2156,1940
2157,1940
2158,1912
2159,1902
2160,1902
2161,1868
2162,1848
2163,1848
2164,1838
2165,1808
2166,1808
2167,1791
2168,1793
2169,1793
2170,1775
2171,1775
2172,1768
2173,1778
2174,1778
2175,1788
2176,1791
2177,1791
2178,1793
2179,1811
2180,1811
2181,1819
2182,1822
2183,1822
2184,1843
2185,1849
2186,1849
2187,1858
2188,1881
2189,1881
2190,1882
2191,1882
2192,1892
2193,1915
2194,1915
2195,1911
2196,1915
2197,1915
2198,1923
2199,1930
2200,1930
2201,1939
2202,1954
2203,1954
2204,1955
2205,1960
2206,1960
2207,1965
2208,1965
2209,1976
2210,1998
2211,1998
2212,1995
2213,2002
2214,2002
2215,2011
2216,2016
2217,2016
2218,2010
2219,2032
2220,2032
2221,2033
2222,2024
2223,2024
2224,2023
2225,2026
2226,2026
2227,2024
2228,2024
2229,2011
2230,2037
2231,2037
2232,2020
2233,2011
2234,2011
2235,2019
2236,1994
2237,1994
2238,2002
2239,1974
2240,1974
2241,1967
2242,1947
2243,1947
2244,1928
2245,1928
2246,1931
2247,1892
2248,1892
2249,1876
2250,1856
2251,1856
2252,1827
2253,1835
2254,1835
2255,1798
2256,1793
2257,1793
2258,1783
2259,1743
2260,1743
2261,1765
2262,1732
2263,1732
2264,1730
2265,1728
2266,1728
2267,1719
2268,1719
2269,1716
2270,1713
2271,1713
2272,1705
2273,1708
2274,1708
2275,1717
2276,1716
2277,1716
2278,1732
2279,1734
2280,1734
2281,1745
2282,1769
2283,1769
2284,1796
2285,1796
2286,1787
2287,1818
2288,1818
2289,1825
2290,1834
2291,1834
2292,1851
2293,1851
2294,1851
2295,1864
2296,1879
2297,1879
2298,1879
2299,1884
2300,1884
2301,1907
2302,1888
2303,1888
2304,1915
2305,1926
2306,1926
2307,1922
2308,1922
2309,1938
2310,1955
2311,1955
2312,1940
2313,1969
2314,1969
2315,1981
2316,1969
2317,1969
2318,1989
2319,1987
2320,1987
2321,1989
2322,2010
2323,2010
2324,2011
2325,2011
2326,2010
2327,2024
2328,2024
2329,2023
2330,2017
2331,2017
2332,2048
2333,2032
2334,2032
2335,2044
2336,2050
2337,2050
2338,2027
2339,2040
2340,2040
2341,2054
2342,2040
2343,2040
2344,2047
2345,2047
2346,2050
2347,2030
2348,2030
2349,2052
2350,2047
2351,2047
2352,2044
2353,2055
2354,2055
2355,2046
2356,2041
2357,2041
2358,2060
2359,2048
2360,2048
2361,2047
2362,2061
2363,2061
2364,2039
2365,2039
2366,2044
2367,2057
2368,2057
2369,2037
2370,2046
2371,2046
2372,2041
2373,2030
2374,2030
2375,2048
2376,2040
2377,2040
2378,2035
2379,2044
2380,2044
2381,2043
2382,2022
2383,2022
2384,2031
2385,2031
2386,2031
2387,2042
2388,2042
2389,2035
2390,2024
2391,2024
2392,2028
2393,2046
2394,2046
2395,2031
2396,2028
